distId,distX,distY,distNum,distance,bikeIds,biketype,type,boundary
8620699199,114.3562042047219,30.530042444069274,1,20,8620699199#,1,0,
0276041542,114.35607704182581,30.530262298364555,1,30,0276041542#,1,0,
0270087477,114.3561120467734,30.529742187993016,1,30,0270087477#,1,0,
0276533882,114.35573450301587,30.529720533017517,1,40,0276533882#,1,0,
8620646623,114.35535398637664,30.530090998850252,1,62,8620646623#,1,0,
8620376851,114.35585474994319,30.53057301895071,1,65,8620376851#,1,0,
0210081695,114.35588880067844,30.53059408432548,1,66,0210081695#,1,0,
0270038322,114.3558497442284,30.530590015930763,1,67,0270038322#,1,0,
0276557019,114.35587077565899,30.53060405665166,1,68,0276557019#,1,0,
0276535585,114.35569852465663,30.530565748077855,1,69,0276535585#,1,0,
8620561110,114.35627536362284,30.53070078164058,1,82,8620561110#,1,0,
0276501357,114.35625634322147,30.530778774713642,1,90,0276501357#,1,0,
0276507098,114.35594694271316,30.531268405569943,1,30,0276507098#,1,0,
0276501357,114.35625634322147,30.530778774713642,1,34,0276501357#,1,0,
8620561110,114.35627536362284,30.53070078164058,1,42,8620561110#,1,0,
0276557019,114.35587077565899,30.53060405665166,1,45,0276557019#,1,0,
0210081695,114.35588880067844,30.53059408432548,1,46,0210081695#,1,0,
0270038322,114.3558497442284,30.530590015930763,1,47,0270038322#,1,0,
8620376851,114.35585474994319,30.53057301895071,1,49,8620376851#,1,0,
0270131478,114.35548927767121,30.531194594310612,1,53,0270131478#,1,0,
0276535585,114.35569852465663,30.530565748077855,1,56,0276535585#,1,0,
8620642510,114.35570561724298,30.531514071830404,1,63,8620642510#,1,0,
0270033537,114.35572564781125,30.531534112869455,1,65,0270033537#,1,0,
8620402850,114.35560346749486,30.531483886132477,1,65,8620402850#,1,0,
8620373451,114.35538613903502,30.531313455536722,1,68,8620373451#,1,0,
0276571859,114.35551634045079,30.531467730759548,1,69,0276571859#,1,0,
0276051747,114.35537412705912,30.531375455199523,1,73,0276051747#,1,0,
0270084370,114.35567157874816,30.53163505309092,1,77,0270084370#,1,0,
0270013066,114.35603812727818,30.531887765748948,1,13,0270013066#,1,0,
8620567953,114.35608719515152,30.53185984063703,1,17,8620567953#,1,0,
0270099901,114.3561723393771,30.532117071195263,1,21,0270099901#,1,0,
8620637435,114.35623743595217,30.532157195812786,1,28,8620637435#,1,0,
0276529590,114.35582881660729,30.531769367604586,1,30,0276529590#,1,0,
0276055265,114.35573070940654,30.5321593274743,1,31,0276055265#,1,0,
8620561495,114.35608618118496,30.53171579146855,1,32,8620561495#,1,0,
8620373246,114.35633757335897,30.5320923456458,1,33,8620373246#,1,0,
0276027712,114.35634358167562,30.532089354927148,1,34,0276027712#,1,0,
0276528680,114.35561452549003,30.531968064564907,1,37,0276528680#,1,0,
8620365452,114.35639465429762,30.532086441214073,1,39,8620365452#,1,0,
8620461824,114.35643069135375,30.531921448385642,1,42,8620461824#,1,0,
0270106463,114.35565656694634,30.531748064463482,1,43,0270106463#,1,0,
0276557200,114.35604924376015,30.53304516667874,1,6,0276557200#,1,0,
0210277479,114.35609530027158,30.532936209589923,1,11,0210277479#,1,0,
8620637121,114.35609931740996,30.533067259779962,1,12,8620637121#,1,0,
0270106611,114.35607829059423,30.533105236310163,1,13,0270106611#,1,0,
0270088327,114.3561143403138,30.53308329081149,1,14,0270088327#,1,0,
0276596496,114.356180422554,30.532941357049577,1,18,0276596496#,1,0,
0276502390,114.35620346063591,30.533000415992582,1,19,0276502390#,1,0,
0270089876,114.35619746239915,30.533119445070746,1,23,0270089876#,1,0,
0276025891,114.35623050487008,30.533064483438814,1,23,0276025891#,1,0,
0270040382,114.35624452682738,30.533086514707204,1,25,0270040382#,1,0,
8620801604,114.35616942750741,30.533179416915367,1,25,8620801604#,1,0,
0270023294,114.35570475025392,30.533059579994056,1,29,0270023294#,1,0,
0276055582,114.3562805816555,30.53312458895343,1,30,0276055582#,1,0,
0270112571,114.35573881179027,30.533203686205635,1,33,0270112571#,1,0,
0270097911,114.35570275833607,30.53318561823547,1,35,0270097911#,1,0,
0276599524,114.3563156710624,30.533576798539183,1,55,0276599524#,1,0,
8620935408,114.35635071927736,30.533555851499987,1,59,8620935408#,1,0,
0270082626,114.35545744503978,30.53365034959029,1,64,0270082626#,1,0,
0276012221,114.3552812207704,30.53400116173117,1,68,0276012221#,1,0,
8620873105,114.35517305942737,30.5339469568728,1,79,8620873105#,1,0,
8620380180,114.35512699090403,30.533926870554588,1,84,8620380180#,1,0,
0276586494,114.35565570082667,30.53330357629443,1,84,0276586494#,1,0,
0276547151,114.3551360265118,30.534185972077704,1,85,0276547151#,1,0,
0270112571,114.35573881179027,30.533203686205635,1,92,0270112571#,1,0,
8620801604,114.35616942750741,30.533179416915367,1,92,8620801604#,1,0,
0270097911,114.35570275833607,30.53318561823547,1,95,0270097911#,1,0,
0270083756,114.35631882959021,30.535349392291778,1,49,0270083756#,1,0,
0270074970,114.35549462681608,30.535124903000096,1,50,0270074970#,1,0,
0270107169,114.35551165756681,30.535195955981127,1,51,0270107169#,1,0,
0270010020,114.3554165383765,30.535404861515243,1,71,0270010020#,1,0,
0276037361,114.35549766309316,30.535492030395115,1,72,0276037361#,999,0,
0276542624,114.35542956928296,30.53554393028674,1,81,0276542624#,1,0,
